LUCAS_ID,FID,CONTAINER_,Country,X_LAEA,Y_LAEA,Year,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW
50882638,19,100,HUNGARY,5088000,2638000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.986517651,2.748506889,73.11028325,0.013493555,6.159480606
50943268,107,587,POLAND,5094000,3268000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.665648272,9.350773344,248.7305709,0.002676182,12.81837856
50963150,154,872,POLAND,5096000,3150000,2018,Other bare soil,Other bare soil,Bare land and lichens/moss,Other,0.72425829,10.51515739,279.7031866,0.002589382,14.5343056
51083476,42,231,POLAND,5108000,3476000,2018,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.701811907,3.103249928,82.54644809,0.008502024,3.368350842
51363400,82,443,POLAND,5136000,3400000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.222954634,6.651156779,176.9207703,0.006912442,14.40424826
51443008,6,32,POLAND,5144000,3008000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.189066918,13.87244738,369.0071002,0.003222342,12.53091509
51503186,31,153,POLAND,5150000,3186000,2018,Other mixed woodland,Mixed woodland,Woodland,Forest,0.518659955,2.113059075,56.20737141,0.009227614,4.270521768
51722996,5,28,POLAND,5172000,2996000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.473971453,35.8900084,954.6742233,0.00259143,21.72198488
52042676,142,799,ROMANIA,5204000,2676000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.410320957,14.50947486,385.9520313,0.003654135,20.32425205
52263450,70,380,POLAND,5226000,3450000,2018,Maize,Cereals,Cropland,Agriculture,0.693634424,3.984708393,105.9932432,0.006544138,6.329113924
52283958,93,488,LATVIA,5228000,3958000,2018,Other leguminous and mixtures for fodder,Fodder crops,Cropland,Agriculture,0.200448508,7.15887528,190.4260825,0.001052632,4.49752883
