Pair.ID,LUCAS_ID,X_LAEA,Y_LAEA,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW,Distance,PA
63,37802362,3780000,2362000,Pine dominated mixed woodland,Mixed woodland,Woodland,Forest,2.078597573,30.85917935,820.8541707,0.002532237,14.05629139,60000,TRUE
64,38022398,3802000,2398000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,1.894487511,20.43425208,543.5511054,0.00348539,22.72878536,26000,TRUE
65,40783218,4078000,3218000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.821156773,4.053145611,107.8136733,0.007616444,12.82136341,60959.00262,TRUE
66,41303178,4130000,3178000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.521337521,2.300018474,61.18049141,0.008521303,10.52892562,80224.68448,TRUE
67,31722110,3172000,2110000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.500088605,32.50575935,864.6531987,0.000578369,6.262458472,51224.9939,TRUE
68,39942574,3994000,2574000,Other mixed woodland,Mixed woodland,Woodland,Forest,12.42932752,82.34537152,2190.386883,0.00567449,46.32352941,66241.98065,TRUE
69,40262620,4026000,2620000,Spruce dominated mixed woodland,Mixed woodland,Woodland,Forest,4.883453562,57.50375714,1529.59994,0.003192635,25.60791548,12000,TRUE
70,40962778,4096000,2778000,Spruce dominated mixed woodland,Mixed woodland,Woodland,Forest,1.402664933,7.283067923,193.7296068,0.007240323,12.33618234,84095.18417,TRUE
71,31222070,3122000,2070000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.542203885,15.83806086,421.2924188,0.001287001,3.628230616,106301.4581,TRUE
72,41883154,4188000,3154000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.88795045,6.646646647,176.8008008,0.005022321,11.49501661,60000,TRUE
73,42183148,4218000,3148000,Spruce dominated coniferous woodland,Coniferous woodland,Woodland,Forest,2.315527682,9.692906574,257.8313149,0.008980785,23.27857972,30594.11708,TRUE
74,32522074,3252000,2074000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.281546811,14.07734057,374.4572592,0.00075188,2.38410596,74215.90126,TRUE
75,33162080,3316000,2080000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.454558911,9.214031972,245.0932504,0.001854637,3.870233352,80448.74144,TRUE
76,46163088,4616000,3088000,Other coniferous woodland,Coniferous woodland,Woodland,Forest,0.81372549,2.288602941,60.87683824,0.01336675,19.24789708,100319.4896,TRUE
77,48263042,4826000,3042000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,2.426786135,14.93908669,397.379706,0.00610697,29.34021993,118152.4439,TRUE
78,31441666,3144000,1666000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.593361702,8.900425532,236.7513191,0.002506266,2.618929223,61773.78085,TRUE
79,32201782,3220000,1782000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,1.957699805,28.69135802,763.1901235,0.002565153,14.91126223,122800.6515,TRUE
80,33502280,3350000,2280000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,4.836220472,33.42407199,889.080315,0.005439577,26.49247561,83450.58418,TRUE
81,47262412,4726000,2412000,Other mixed woodland,Mixed woodland,Woodland,Forest,5.854292343,37.23124517,990.3511214,0.00591133,28.76033058,79924.96481,TRUE
82,37562340,3756000,2340000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.983186855,15.96357152,424.6310024,0.002315391,12.82478348,40249.2236,TRUE
83,54401670,5440000,1670000,Spruce dominated mixed woodland,Mixed woodland,Woodland,Forest,1.322767075,16.86164623,448.5197898,0.002949183,5.306799337,206891.2758,TRUE
84,56702146,5670000,2146000,Pine dominated mixed woodland,Mixed woodland,Woodland,Forest,0.575789109,5.613943809,149.3309053,0.003855793,4.788639366,21633.30765,TRUE
